0 [1.0, 0.0] [0.15, 0.0] [1.0, 0.0]
1 [1.95, 0.31] [1.15, 0.0] [1.5, 0.87]
2 [2.64, 0.82] [2.12, 0.0] [1.81, 1.81]
3 [3.13, 1.13] [2.89, 0.0] [2.04, 2.76]
4 [3.87, 1.57] [3.09, 0.87] [2.19, 3.73]
5 [4.65, 2.08] [3.49, 1.64] [2.34, 4.7]
6 [5.43, 2.62] [3.86, 2.4] [2.58, 5.66]
7 [6.11, 3.28] [4.01, 3.18] [3.1, 6.5]
8 [6.73, 3.97] [4.0, 3.75] [3.97, 6.88]
9 [7.41, 4.55] [4.23, 4.14] [4.8, 7.06]
10 [8.0, 5.12] [4.51, 4.45] [5.52, 7.23]
11 [8.52, 5.55] [4.79, 4.69] [6.16, 7.39]
12 [8.72, 5.75] [4.89, 4.8] [6.63, 7.66]
13 [8.86, 5.88] [4.95, 4.9] [6.85, 7.86]
14 [8.99, 6.0] [5.0, 5.0] [7.01, 8.0]
