0 [0.0, 0.0] [0.0, 0.0] [0.0, 0.0]
1 [0.41, 0.78] [0.13, 0.0] [0.73, 0.52]
2 [1.13, 1.28] [0.28, 0.0] [1.45, 1.02]
3 [1.71, 1.87] [0.45, 0.0] [2.14, 1.48]
4 [2.56, 2.21] [0.56, 0.0] [3.03, 1.72]
5 [3.47, 2.46] [0.65, 0.0] [3.96, 1.89]
6 [4.43, 2.6] [0.7, 0.0] [4.93, 1.98]
7 [5.41, 2.67] [0.73, -0.0] [5.91, 2.03]
8 [6.4, 2.71] [0.75, -0.0] [6.9, 2.06]
9 [7.39, 2.74] [0.76, -0.0] [7.89, 2.08]
10 [8.39, 2.76] [0.77, -0.0] [8.89, 2.09]
11 [9.38, 2.78] [0.78, -0.0] [9.88, 2.11]
12 [9.38, 2.83] [0.8, -0.0] [9.88, 2.14]
13 [9.38, 2.88] [0.82, -0.0] [9.88, 2.17]
14 [9.38, 2.93] [0.84, -0.0] [9.88, 2.2]
15 [9.38, 2.98] [0.86, -0.0] [9.88, 2.23]
16 [9.38, 3.03] [0.88, -0.0] [9.88, 2.26]
17 [9.38, 3.08] [0.9, -0.0] [9.88, 2.29]
18 [9.38, 3.13] [0.92, -0.0] [9.88, 2.32]
19 [9.38, 3.19] [0.94, -0.0] [9.88, 2.35]
20 [9.38, 3.25] [0.96, -0.0] [9.88, 2.39]
21 [9.38, 3.31] [0.98, -0.0] [9.88, 2.43]
22 [9.38, 3.37] [1.0, -0.0] [9.88, 2.47]
23 [9.38, 3.44] [1.02, -0.0] [9.88, 2.51]
24 [9.38, 3.51] [1.04, -0.0] [9.88, 2.55]
25 [9.38, 3.58] [1.06, -0.0] [9.88, 2.59]
26 [9.38, 3.65] [1.08, -0.0] [9.88, 2.64]
27 [9.38, 3.72] [1.1, -0.0] [9.88, 2.69]
28 [9.38, 3.79] [1.12, -0.0] [9.88, 2.74]
29 [9.38, 3.86] [1.14, -0.0] [9.88, 2.79]
30 [9.38, 3.93] [1.16, -0.0] [9.88, 2.84]
31 [9.38, 4.0] [1.18, -0.0] [9.88, 2.89]
32 [9.38, 4.06] [1.2, -0.0] [9.88, 2.93]
33 [9.38, 4.11] [1.21, -0.0] [9.88, 2.97]
34 [9.38, 4.16] [1.22, -0.0] [9.88, 3.0]
35 [9.38, 4.2] [1.23, -0.0] [9.88, 3.03]
36 [9.38, 4.23] [1.24, -0.0] [9.88, 3.05]
37 [9.38, 4.25] [1.25, -0.0] [9.88, 3.07]
38 [9.38, 4.27] [1.25, -0.0] [9.88, 3.08]
39 [9.38, 4.28] [1.25, -0.0] [9.88, 3.09]
40 [9.38, 4.29] [1.25, -0.0] [9.88, 3.1]
41 [9.38, 4.3] [1.25, -0.0] [9.88, 3.11]
42 [9.38, 4.31] [1.25, -0.0] [9.88, 3.11]
43 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
44 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
45 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
46 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
47 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
48 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
49 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
50 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
51 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
52 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
53 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
54 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
55 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
56 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
57 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
58 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
59 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
60 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
61 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
62 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
63 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
64 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
65 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
66 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
67 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
68 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
69 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
70 [9.38, 4.32] [1.25, -0.0] [9.88, 3.11]
