0 [0.62, 0.0] [1.0, 0.0] [0.2, 0.0]
96 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
97 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
98 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
99 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
100 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
101 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
102 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
103 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
104 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
105 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
106 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
107 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
108 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
109 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
110 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
111 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
112 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
113 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
114 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
115 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
116 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
117 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
