0 [1.0, 0.0] [1.0, 0.0] [0.31, 0.95]
1 [2.0, 0.0] [2.0, 0.0] [0.59, 1.91]
2 [2.47, 0.0] [2.98, 0.01] [0.95, 2.84]
3 [2.5, 0.0] [3.37, 0.02] [1.35, 3.76]
4 [2.54, 0.0] [4.22, 0.04] [1.81, 4.65]
5 [2.59, 0.0] [4.78, 0.08] [2.48, 5.39]
6 [2.65, 0.01] [5.5, 0.19] [3.31, 5.94]
7 [2.7, 0.08] [5.91, 0.46] [4.2, 6.39]
8 [2.59, 0.2] [5.7, 0.99] [5.13, 6.76]
9 [1.9, 0.2] [5.42, 0.09] [6.06, 6.96]
10 [2.45, 1.03] [6.35, 0.44] [6.11, 7.03]
11 [3.36, 1.14] [7.25, 0.55] [5.22, 7.46]
12 [3.9, 1.17] [7.78, 0.6] [4.43, 8.07]
13 [4.11, 1.18] [8.12, 0.67] [3.76, 8.81]
