0 [0.0, 0.0] [0.0, 0.48] [0.0, 0.0]
33 [0.81, -0.0] [9.61, 3.02] [0.15, 0.27]
34 [0.82, -0.0] [9.61, 3.05] [0.15, 0.27]
35 [0.83, -0.0] [9.61, 3.08] [0.15, 0.27]
36 [0.84, -0.0] [9.61, 3.11] [0.15, 0.27]
37 [0.85, -0.0] [9.61, 3.14] [0.15, 0.27]
38 [0.86, -0.0] [9.61, 3.17] [0.15, 0.27]
39 [0.87, -0.0] [9.61, 3.2] [0.15, 0.27]
40 [0.88, -0.0] [9.61, 3.22] [0.15, 0.27]
41 [0.89, -0.0] [9.61, 3.24] [0.15, 0.27]
42 [0.9, -0.0] [9.61, 3.26] [0.15, 0.27]
43 [0.91, -0.0] [9.61, 3.28] [0.15, 0.27]
44 [0.92, -0.0] [9.61, 3.3] [0.15, 0.27]
45 [0.93, -0.0] [9.61, 3.32] [0.15, 0.27]
46 [0.94, -0.0] [9.61, 3.34] [0.15, 0.27]
47 [0.95, -0.0] [9.61, 3.36] [0.15, 0.27]
48 [0.96, -0.0] [9.61, 3.38] [0.15, 0.27]
49 [0.97, -0.0] [9.61, 3.4] [0.15, 0.27]
50 [0.98, -0.0] [9.61, 3.42] [0.15, 0.27]
51 [0.99, -0.0] [9.61, 3.44] [0.15, 0.27]
52 [1.0, -0.0] [9.61, 3.46] [0.15, 0.27]
53 [1.01, -0.0] [9.61, 3.48] [0.15, 0.27]
54 [1.02, -0.0] [9.61, 3.5] [0.15, 0.27]
55 [1.02, -0.0] [9.61, 3.52] [0.15, 0.27]
56 [1.02, -0.0] [9.61, 3.54] [0.15, 0.27]
57 [1.02, -0.0] [9.61, 3.56] [0.15, 0.27]
58 [1.02, -0.0] [9.61, 3.57] [0.15, 0.27]
59 [1.02, -0.0] [9.61, 3.58] [0.15, 0.27]
60 [1.02, -0.0] [9.61, 3.59] [0.15, 0.27]
61 [1.02, -0.0] [9.61, 3.6] [0.15, 0.27]
62 [1.02, -0.0] [9.61, 3.61] [0.15, 0.27]
63 [1.02, -0.0] [9.61, 3.62] [0.15, 0.27]
64 [1.02, -0.0] [9.61, 3.63] [0.15, 0.27]
65 [1.02, -0.0] [9.61, 3.64] [0.15, 0.27]
66 [1.02, -0.0] [9.61, 3.65] [0.15, 0.27]
67 [1.02, -0.0] [9.61, 3.66] [0.15, 0.27]
68 [1.02, -0.0] [9.61, 3.67] [0.15, 0.27]
69 [1.02, -0.0] [9.61, 3.68] [0.15, 0.27]
70 [1.02, -0.0] [9.61, 3.69] [0.15, 0.27]
71 [1.02, -0.0] [9.61, 3.7] [0.15, 0.27]
72 [1.02, -0.0] [9.61, 3.71] [0.15, 0.27]
73 [1.02, -0.0] [9.61, 3.72] [0.15, 0.27]
74 [1.02, -0.0] [9.61, 3.73] [0.15, 0.27]
75 [1.02, -0.0] [9.61, 3.74] [0.15, 0.27]
76 [1.02, -0.0] [9.61, 3.75] [0.15, 0.27]
77 [1.02, -0.0] [9.61, 3.76] [0.15, 0.27]
78 [1.02, -0.0] [9.61, 3.77] [0.15, 0.27]
79 [1.02, -0.0] [9.61, 3.78] [0.15, 0.27]
80 [1.02, -0.0] [9.61, 3.79] [0.15, 0.27]
81 [1.02, -0.0] [9.61, 3.8] [0.15, 0.27]
82 [1.02, -0.0] [9.61, 3.81] [0.15, 0.27]
83 [1.02, -0.0] [9.61, 3.82] [0.15, 0.27]
84 [1.02, -0.0] [9.61, 3.83] [0.15, 0.27]
85 [1.02, -0.0] [9.61, 3.84] [0.15, 0.27]
86 [1.02, -0.0] [9.61, 3.85] [0.15, 0.27]
87 [1.02, -0.0] [9.61, 3.86] [0.15, 0.27]
88 [1.02, -0.0] [9.61, 3.87] [0.15, 0.27]
89 [1.02, -0.0] [9.61, 3.88] [0.15, 0.27]
90 [1.02, -0.0] [9.61, 3.89] [0.15, 0.27]
91 [1.02, -0.0] [9.61, 3.9] [0.15, 0.27]
92 [1.02, -0.0] [9.61, 3.91] [0.15, 0.27]
93 [1.02, -0.0] [9.61, 3.92] [0.15, 0.27]
94 [1.02, -0.0] [9.61, 3.93] [0.15, 0.27]
95 [1.02, -0.0] [9.61, 3.94] [0.15, 0.27]
96 [1.02, -0.0] [9.61, 3.95] [0.15, 0.27]
97 [1.02, -0.0] [9.61, 3.96] [0.15, 0.27]
98 [1.02, -0.0] [9.61, 3.97] [0.15, 0.27]
99 [1.02, -0.0] [9.61, 3.98] [0.15, 0.27]
