0 [0.0, 0.0] [0.0, 0.48] [0.0, 0.0]
1 [0.0, 0.0] [0.24, 0.94] [0.0, 0.0]
2 [0.0, 0.0] [0.62, 1.3] [0.0, 0.0]
3 [0.0, 0.0] [1.2, 1.62] [0.0, 0.03]
4 [0.15, 0.0] [1.96, 1.87] [0.0, 0.14]
5 [0.3, 0.0] [2.8, 2.08] [0.01, 0.22]
6 [0.42, 0.0] [3.71, 2.22] [0.04, 0.26]
7 [0.49, 0.0] [4.67, 2.3] [0.07, 0.27]
8 [0.53, 0.0] [5.65, 2.34] [0.09, 0.27]
9 [0.55, -0.0] [6.64, 2.36] [0.1, 0.27]
10 [0.56, -0.0] [7.63, 2.38] [0.11, 0.27]
11 [0.58, -0.0] [8.62, 2.41] [0.12, 0.27]
12 [0.6, -0.0] [9.61, 2.45] [0.13, 0.27]
13 [0.61, -0.0] [9.61, 2.48] [0.14, 0.27]
14 [0.62, -0.0] [9.61, 2.51] [0.15, 0.27]
15 [0.63, -0.0] [9.61, 2.54] [0.15, 0.27]
16 [0.64, -0.0] [9.61, 2.56] [0.15, 0.27]
17 [0.65, -0.0] [9.61, 2.58] [0.15, 0.27]
18 [0.66, -0.0] [9.61, 2.6] [0.15, 0.27]
19 [0.67, -0.0] [9.61, 2.62] [0.15, 0.27]
20 [0.68, -0.0] [9.61, 2.64] [0.15, 0.27]
21 [0.69, -0.0] [9.61, 2.66] [0.15, 0.27]
22 [0.7, -0.0] [9.61, 2.68] [0.15, 0.27]
23 [0.71, -0.0] [9.61, 2.71] [0.15, 0.27]
24 [0.72, -0.0] [9.61, 2.74] [0.15, 0.27]
25 [0.73, -0.0] [9.61, 2.77] [0.15, 0.27]
26 [0.74, -0.0] [9.61, 2.8] [0.15, 0.27]
27 [0.75, -0.0] [9.61, 2.83] [0.15, 0.27]
28 [0.76, -0.0] [9.61, 2.86] [0.15, 0.27]
29 [0.77, -0.0] [9.61, 2.89] [0.15, 0.27]
30 [0.78, -0.0] [9.61, 2.92] [0.15, 0.27]
31 [0.79, -0.0] [9.61, 2.96] [0.15, 0.27]
32 [0.8, -0.0] [9.61, 2.99] [0.15, 0.27]
