0 [0.34, 0.01] [0.36, 0.0] [0.96, 0.0]
1 [1.2, 0.15] [1.12, 0.0] [1.93, 0.0]
2 [1.68, 0.92] [1.84, 0.0] [2.16, 0.0]
3 [1.8, 0.99] [2.13, 0.0] [2.61, 0.88]
4 [2.09, 1.07] [2.12, 0.0] [2.55, 1.87]
5 [2.81, 1.24] [2.16, 0.81] [2.65, 2.84]
6 [3.71, 1.51] [2.6, 1.5] [2.86, 3.79]
7 [4.61, 1.84] [3.0, 2.13] [3.17, 4.72]
8 [5.39, 2.37] [3.36, 2.71] [3.79, 5.42]
9 [5.96, 3.08] [3.7, 3.19] [4.37, 5.99]
10 [6.42, 3.73] [3.97, 3.56] [4.84, 6.37]
11 [6.85, 4.18] [4.15, 3.86] [5.23, 6.61]
12 [7.34, 4.6] [4.3, 4.12] [5.57, 6.79]
13 [7.95, 5.01] [4.44, 4.35] [5.92, 6.94]
14 [8.62, 5.4] [4.67, 4.52] [6.42, 7.11]
15 [8.87, 5.74] [4.9, 4.72] [6.94, 7.48]
16 [8.95, 5.9] [4.97, 4.88] [6.97, 7.85]
17 [9.0, 6.0] [5.0, 5.0] [7.0, 8.01]
