0 [1.0, 0.0] [0.0, -0.0] [1.0, 0.0]
96 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
97 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
98 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
99 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
100 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
101 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
102 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
103 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
104 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
105 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
106 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
107 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
108 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
109 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
110 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
111 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
112 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
113 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
114 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
115 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
116 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
