0 [1.0, 0.0] [1.0, 0.0] [0.77, 0.63]
1 [2.0, 0.0] [2.0, 0.0] [1.16, 1.55]
2 [2.99, 0.0] [3.0, 0.0] [1.52, 2.48]
3 [2.99, 0.0] [4.0, 0.03] [1.77, 3.45]
4 [2.99, 0.0] [4.99, 0.15] [1.98, 4.43]
5 [2.99, 0.0] [5.98, 0.32] [2.27, 5.39]
6 [2.99, 0.0] [6.9, 0.72] [3.01, 6.06]
7 [2.99, 0.0] [7.43, 1.57] [3.9, 6.52]
8 [2.99, 0.0] [6.98, 2.46] [4.88, 6.71]
9 [2.99, -0.0] [7.07, 1.46] [5.87, 6.86]
10 [2.99, -0.0] [8.02, 1.15] [6.31, 7.08]
11 [3.01, -0.0] [9.01, 1.05] [6.12, 7.08]
12 [3.03, -0.0] [9.95, 0.72] [5.29, 7.61]
13 [3.06, -0.0] [9.95, 0.44] [4.49, 8.16]
14 [3.24, -0.0] [9.95, 0.33] [3.9, 8.44]
