0 [0.0, 0.6] [0.0, 1.39] [0.0, 0.4]
1 [0.0, 0.19] [0.0, 1.81] [0.0, 0.4]
2 [0.04, 0.19] [0.0, 2.24] [0.0, 0.4]
3 [0.14, 0.19] [0.02, 2.66] [0.07, 0.4]
4 [0.28, 0.19] [0.08, 3.07] [0.22, 0.4]
5 [0.45, 0.19] [0.17, 3.47] [0.43, 0.4]
6 [0.63, 0.19] [0.28, 3.86] [0.7, 0.4]
7 [0.83, 0.19] [0.39, 4.24] [1.01, 0.4]
8 [1.04, 0.19] [0.5, 4.62] [1.36, 0.4]
9 [1.25, 0.19] [0.61, 4.99] [1.75, 0.4]
10 [1.47, 0.19] [0.71, 5.36] [2.17, 0.4]
11 [1.7, 0.19] [0.79, 5.73] [2.63, 0.4]
12 [1.94, 0.19] [0.84, 6.09] [3.12, 0.4]
13 [2.19, 0.19] [0.86, 6.44] [3.64, 0.4]
14 [2.44, 0.19] [0.84, 6.79] [4.17, 0.4]
15 [2.69, 0.19] [0.79, 7.13] [4.69, 0.4]
16 [2.93, 0.19] [0.72, 7.47] [5.18, 0.4]
17 [3.16, 0.19] [0.63, 7.82] [5.61, 0.4]
18 [3.37, 0.19] [0.51, 8.17] [5.96, 0.4]
19 [3.56, 0.19] [0.34, 8.53] [6.19, 0.4]
20 [3.72, 0.19] [0.12, 8.88] [6.26, 0.4]
21 [3.85, 0.19] [0.12, 9.22] [6.17, 0.4]
22 [3.95, 0.19] [0.12, 9.54] [5.96, 0.04]
23 [4.01, 0.19] [0.12, 9.83] [5.68, 0.04]
24 [4.04, 0.19] [0.12, 9.83] [5.39, 0.04]
25 [4.05, 0.19] [0.12, 9.83] [5.1, 0.04]
26 [4.04, 0.19] [0.12, 9.83] [4.82, 0.04]
27 [4.03, 0.19] [0.12, 9.83] [4.54, 0.04]
28 [4.01, 0.19] [0.12, 9.83] [4.27, 0.04]
29 [3.99, 0.19] [0.12, 9.83] [4.0, -0.0]
30 [3.96, 0.19] [0.12, 9.83] [3.73, -0.0]
