0 [0.23, 0.0] [0.4, 0.0] [0.6, 0.0]
1 [0.23, 0.0] [0.57, 0.0] [1.14, 0.0]
2 [0.23, 0.2] [0.59, 0.0] [1.6, 0.0]
3 [0.36, 0.99] [0.48, 0.02] [1.72, 0.0]
4 [1.01, 1.52] [0.6, 0.13] [1.52, 0.0]
5 [1.56, 2.12] [0.76, 0.27] [1.35, 0.07]
6 [2.09, 2.73] [0.94, 0.41] [1.23, 0.2]
7 [2.62, 3.35] [1.12, 0.55] [1.14, 0.35]
8 [3.15, 3.98] [1.29, 0.68] [1.07, 0.51]
9 [3.68, 4.62] [1.45, 0.81] [1.01, 0.68]
10 [4.22, 5.26] [1.61, 0.94] [0.95, 0.85]
11 [4.77, 5.9] [1.76, 1.07] [0.9, 1.03]
12 [5.33, 6.52] [1.92, 1.2] [0.86, 1.21]
13 [5.91, 7.12] [2.1, 1.33] [0.84, 1.39]
14 [6.52, 7.65] [2.36, 1.48] [0.87, 1.55]
15 [7.11, 8.15] [2.72, 1.65] [0.93, 1.68]
16 [7.67, 8.65] [3.11, 1.84] [0.99, 1.81]
17 [8.26, 9.15] [3.48, 2.01] [1.05, 1.93]
18 [8.91, 9.64] [3.82, 2.15] [1.12, 2.04]
19 [9.62, 9.64] [4.12, 2.25] [1.19, 2.13]
20 [9.62, 9.64] [4.37, 2.32] [1.27, 2.2]
21 [9.62, 9.64] [4.64, 2.4] [1.35, 2.28]
22 [9.62, 9.64] [4.94, 2.5] [1.43, 2.37]
23 [9.62, 9.64] [5.26, 2.62] [1.5, 2.47]
24 [9.62, 9.64] [5.61, 2.77] [1.57, 2.58]
25 [9.62, 9.64] [5.97, 2.96] [1.64, 2.7]
