0 [0.12, 0.0] [0.0, 0.0] [0.27, 0.0]
1 [0.12, 0.0] [0.14, 0.0] [0.72, 0.0]
2 [0.12, 0.48] [0.61, 0.0] [1.44, 0.0]
3 [0.96, 0.85] [1.34, 0.0] [2.3, 0.0]
4 [1.6, 1.32] [1.47, 0.0] [2.38, 0.0]
5 [1.92, 1.68] [1.11, 0.0] [2.03, 0.17]
6 [2.07, 1.89] [0.99, 0.26] [2.08, 0.39]
7 [2.15, 1.99] [1.03, 0.45] [2.19, 0.52]
8 [2.19, 2.05] [1.09, 0.57] [2.3, 0.62]
9 [2.2, 2.1] [1.14, 0.66] [2.4, 0.73]
10 [2.2, 2.14] [1.18, 0.73] [2.48, 0.87]
11 [2.19, 2.17] [1.21, 0.8] [2.53, 1.05]
12 [2.19, 2.21] [1.23, 0.89] [2.55, 1.26]
13 [2.2, 2.26] [1.24, 1.0] [2.52, 1.51]
14 [2.21, 2.32] [1.22, 1.15] [2.42, 1.79]
15 [2.23, 2.4] [1.15, 1.34] [2.2, 2.09]
16 [2.26, 2.53] [0.98, 1.56] [1.84, 2.37]
17 [2.28, 2.72] [0.68, 1.77] [1.36, 2.6]
18 [2.23, 2.93] [0.37, 2.0] [0.96, 2.98]
19 [2.09, 3.16] [0.09, 2.3] [0.81, 3.54]
20 [1.86, 3.44] [0.09, 2.69] [0.96, 4.14]
21 [1.69, 3.84] [0.09, 3.17] [1.34, 4.66]
22 [1.75, 4.3] [0.17, 3.66] [1.85, 5.07]
23 [2.06, 4.7] [0.42, 4.07] [2.39, 5.43]
24 [2.5, 5.0] [0.75, 4.41] [2.96, 5.76]
25 [2.98, 5.23] [1.11, 4.67] [3.56, 6.03]
26 [3.46, 5.4] [1.47, 4.85] [4.17, 6.24]
27 [3.92, 5.53] [1.8, 4.97] [4.77, 6.39]
28 [4.34, 5.63] [2.1, 5.04] [5.32, 6.48]
29 [4.74, 5.71] [2.38, 5.08] [5.79, 6.52]
30 [5.15, 5.78] [2.66, 5.11] [6.21, 6.55]
