0 [1.0, 0.0] [0.99, 0.05] [0.55, 0.83]
1 [1.78, 0.0] [1.94, 0.31] [0.96, 1.74]
2 [1.82, 0.0] [2.56, 0.93] [1.27, 2.69]
3 [1.98, 0.0] [3.09, 1.65] [1.64, 3.62]
4 [2.5, 0.02] [3.54, 2.51] [2.01, 4.55]
5 [2.91, 0.05] [3.45, 3.49] [2.45, 5.45]
6 [3.54, 0.19] [2.55, 3.91] [3.02, 6.27]
7 [4.19, 0.69] [2.05, 3.04] [3.81, 6.88]
8 [4.25, 1.57] [2.47, 2.13] [4.77, 7.09]
9 [4.94, 1.0] [3.45, 1.91] [5.62, 7.16]
10 [5.54, 0.99] [4.45, 1.86] [5.7, 7.17]
11 [6.04, 0.99] [5.45, 1.84] [5.73, 7.19]
12 [6.65, 0.95] [6.45, 1.83] [5.0, 7.81]
13 [6.91, 0.94] [7.45, 1.81] [4.76, 8.65]
