0 [0.97, 1.0] [0.85, 1.02] [0.95, 1.0]
1 [1.95, 1.01] [1.02, 1.08] [1.93, 1.03]
2 [2.92, 1.04] [1.45, 1.15] [2.86, 1.11]
3 [3.91, 1.05] [2.24, 1.2] [3.77, 1.15]
4 [4.9, 1.07] [2.83, 1.39] [4.62, 1.22]
5 [5.89, 1.15] [3.06, 1.68] [5.36, 1.4]
6 [6.82, 1.37] [3.32, 2.09] [6.0, 1.8]
7 [7.09, 1.84] [3.83, 2.82] [6.08, 2.64]
8 [7.41, 2.63] [4.62, 3.42] [6.24, 3.58]
9 [7.65, 3.55] [5.28, 4.17] [6.44, 4.53]
10 [7.82, 4.36] [5.92, 4.92] [6.69, 5.36]
11 [7.84, 5.22] [6.39, 5.77] [6.88, 6.08]
12 [7.71, 6.16] [6.67, 6.69] [6.99, 6.82]
13 [7.47, 7.12] [6.77, 7.64] [6.94, 7.63]
14 [7.2, 8.06] [6.88, 8.39] [6.88, 8.33]
15 [6.97, 8.84] [6.92, 8.62] [6.9, 8.72]
16 [6.96, 8.91] [6.98, 8.81] [6.93, 8.87]
17 [6.95, 8.99] [7.0, 8.93] [6.95, 8.98]
