0 [0.62, 0.8] [0.01, 1.0] [0.99, 1.05]
1 [1.48, 0.42] [0.01, 1.15] [1.33, 1.91]
2 [2.09, 0.32] [0.78, 1.45] [1.36, 1.93]
3 [2.26, 0.31] [1.66, 1.46] [1.36, 1.93]
4 [3.02, 0.3] [2.57, 1.47] [1.36, 1.93]
5 [3.92, 0.25] [3.55, 1.49] [1.37, 1.93]
6 [4.75, 0.05] [4.54, 1.51] [1.42, 1.94]
7 [5.49, 0.05] [5.53, 1.53] [1.5, 1.99]
8 [6.15, 0.05] [6.53, 1.55] [1.6, 2.08]
9 [6.75, 0.05] [7.53, 1.56] [1.71, 2.22]
10 [7.31, 0.05] [8.53, 1.58] [1.79, 2.4]
11 [7.89, 0.05] [9.53, 1.6] [1.85, 2.57]
12 [8.48, 0.05] [9.53, 1.62] [1.91, 2.73]
13 [9.06, 0.05] [9.53, 1.64] [1.98, 2.89]
14 [9.61, 0.05] [9.53, 1.66] [2.05, 3.04]
15 [9.61, 0.05] [9.53, 1.67] [2.13, 3.18]
16 [9.61, 0.05] [9.53, 1.68] [2.21, 3.32]
17 [9.61, 0.05] [9.53, 1.69] [2.29, 3.46]
18 [9.61, 0.05] [9.53, 1.7] [2.37, 3.6]
19 [9.61, 0.05] [9.53, 1.71] [2.45, 3.74]
20 [9.61, 0.05] [9.53, 1.73] [2.53, 3.88]
21 [9.61, 0.05] [9.53, 1.75] [2.61, 4.02]
22 [9.61, 0.05] [9.53, 1.77] [2.69, 4.16]
23 [9.61, 0.05] [9.53, 1.79] [2.77, 4.3]
