0 [0.0, 0.0] [0.0, 0.29] [0.0, 0.29]
1 [0.05, 0.0] [0.05, 0.51] [0.04, 0.51]
2 [0.16, 0.0] [0.14, 0.64] [0.13, 0.64]
3 [0.27, 0.0] [0.23, 0.72] [0.22, 0.73]
4 [0.38, 0.0] [0.32, 0.78] [0.31, 0.8]
5 [0.49, 0.0] [0.4, 0.83] [0.39, 0.86]
6 [0.59, 0.0] [0.48, 0.88] [0.47, 0.91]
7 [0.69, 0.0] [0.55, 0.92] [0.55, 0.95]
8 [0.79, 0.0] [0.62, 0.96] [0.62, 0.99]
9 [0.89, 0.0] [0.69, 1.0] [0.69, 1.03]
10 [0.99, 0.0] [0.76, 1.04] [0.76, 1.07]
11 [1.08, 0.0] [0.83, 1.08] [0.83, 1.11]
12 [1.17, 0.0] [0.9, 1.11] [0.9, 1.15]
13 [1.26, 0.0] [0.97, 1.14] [0.97, 1.19]
14 [1.35, 0.0] [1.04, 1.18] [1.04, 1.23]
15 [1.44, 0.0] [1.11, 1.22] [1.11, 1.27]
16 [1.54, 0.0] [1.18, 1.26] [1.18, 1.31]
17 [1.64, 0.0] [1.25, 1.3] [1.25, 1.35]
18 [1.74, 0.0] [1.32, 1.34] [1.32, 1.39]
19 [1.84, 0.0] [1.39, 1.38] [1.39, 1.43]
20 [1.94, 0.0] [1.46, 1.42] [1.47, 1.47]
21 [2.04, 0.0] [1.53, 1.46] [1.55, 1.52]
22 [2.14, 0.0] [1.6, 1.5] [1.63, 1.57]
23 [2.24, 0.0] [1.68, 1.55] [1.71, 1.62]
24 [2.35, 0.0] [1.76, 1.6] [1.79, 1.67]
25 [2.46, 0.0] [1.84, 1.65] [1.87, 1.73]
26 [2.57, 0.0] [1.92, 1.7] [1.95, 1.79]
27 [2.68, 0.0] [2.0, 1.76] [2.03, 1.85]
28 [2.79, 0.0] [2.08, 1.82] [2.12, 1.91]
29 [2.9, 0.0] [2.16, 1.88] [2.21, 1.98]
30 [3.01, 0.0] [2.24, 1.94] [2.3, 2.05]
31 [3.13, 0.0] [2.32, 2.01] [2.39, 2.12]
32 [3.25, 0.0] [2.4, 2.08] [2.48, 2.2]
33 [3.37, 0.0] [2.48, 2.15] [2.57, 2.28]
34 [3.49, 0.0] [2.56, 2.23] [2.66, 2.36]
35 [3.61, 0.0] [2.64, 2.31] [2.75, 2.45]
36 [3.73, 0.0] [2.72, 2.39] [2.84, 2.54]
37 [3.85, 0.0] [2.81, 2.47] [2.93, 2.64]
38 [3.97, 0.0] [2.9, 2.56] [3.02, 2.74]
39 [4.09, 0.0] [2.99, 2.65] [3.11, 2.84]
40 [4.21, 0.0] [3.08, 2.75] [3.2, 2.95]
41 [4.33, 0.0] [3.16, 2.85] [3.29, 3.06]
42 [4.45, 0.0] [3.24, 2.95] [3.38, 3.18]
43 [4.57, 0.0] [3.32, 3.06] [3.47, 3.3]
44 [4.69, 0.0] [3.4, 3.18] [3.56, 3.43]
45 [4.8, 0.0] [3.48, 3.3] [3.65, 3.57]
46 [4.91, 0.0] [3.56, 3.43] [3.74, 3.72]
47 [5.02, 0.0] [3.64, 3.57] [3.82, 3.88]
48 [5.12, 0.0] [3.71, 3.72] [3.9, 4.05]
49 [5.21, 0.0] [3.77, 3.88] [3.97, 4.24]
50 [5.28, 0.0] [3.82, 4.06] [4.03, 4.44]
51 [5.33, 0.0] [3.86, 4.26] [4.07, 4.66]
52 [5.34, 0.0] [3.88, 4.48] [4.09, 4.91]
53 [5.3, 0.0] [3.86, 4.72] [4.07, 5.18]
54 [5.18, 0.0] [3.78, 4.98] [3.98, 5.48]
55 [4.94, 0.0] [3.61, 5.24] [3.79, 5.78]
56 [4.53, 0.0] [3.3, 5.45] [3.44, 6.01]
57 [3.98, 0.03] [2.84, 5.45] [2.92, 6.01]
58 [3.56, 0.55] [2.45, 5.01] [2.5, 5.52]
59 [3.67, 1.32] [2.53, 4.28] [2.6, 4.75]
60 [4.2, 1.99] [3.03, 3.62] [3.13, 4.07]
61 [4.94, 2.5] [3.76, 3.12] [3.88, 3.56]
62 [5.79, 2.86] [4.61, 2.76] [4.74, 3.19]
63 [6.71, 3.11] [5.53, 2.51] [5.67, 2.94]
64 [7.66, 3.28] [6.48, 2.34] [6.63, 2.76]
