0 [0.8, 0.49] [0.3, 0.95] [0.99, 0.16]
1 [1.35, 0.49] [0.57, 1.91] [1.99, 0.22]
2 [2.06, 0.18] [0.86, 2.86] [2.96, 0.25]
3 [2.41, 0.09] [1.36, 3.73] [3.46, 0.27]
4 [2.78, 0.0] [1.9, 4.57] [3.69, 0.28]
5 [3.16, 0.0] [2.52, 5.35] [3.89, 0.3]
6 [3.5, 0.0] [3.28, 6.0] [4.13, 0.36]
7 [3.73, 0.0] [4.17, 6.45] [4.3, 0.51]
8 [3.62, 0.0] [5.11, 6.72] [4.02, 0.61]
9 [3.71, 0.85] [5.96, 6.95] [3.52, 0.61]
10 [4.7, 0.96] [6.13, 7.12] [4.38, 1.11]
11 [5.7, 0.97] [5.21, 7.25] [5.31, 1.12]
12 [6.7, 0.97] [4.3, 7.66] [5.55, 1.12]
13 [7.7, 0.98] [3.4, 8.1] [5.57, 1.12]
