0 [0.91, 0.36] [0.78, 0.62] [0.64, 0.77]
1 [1.8, 0.7] [1.37, 1.42] [1.18, 1.61]
2 [2.36, 0.85] [1.02, 2.06] [1.75, 2.43]
3 [2.79, 0.86] [1.83, 2.61] [2.34, 3.24]
4 [3.06, 0.87] [2.54, 3.22] [2.87, 4.08]
5 [3.37, 0.89] [3.31, 3.78] [3.46, 4.88]
6 [3.68, 0.95] [3.99, 4.42] [4.16, 5.59]
7 [3.95, 1.05] [4.13, 5.29] [5.0, 6.11]
8 [4.33, 1.15] [3.32, 5.74] [5.91, 6.43]
9 [5.22, 1.17] [2.84, 6.61] [6.27, 7.29]
10 [6.22, 1.17] [1.91, 6.25] [5.42, 6.8]
11 [7.22, 1.17] [2.04, 5.26] [4.49, 7.16]
12 [8.22, 1.17] [2.95, 4.87] [3.67, 7.73]
