0 [0.0, 1.03] [0.0, 0.82] [0.0, 1.13]
1 [0.0, 1.01] [0.0, 0.67] [0.0, 1.33]
2 [0.0, 1.03] [0.0, 0.49] [0.0, 1.57]
3 [0.0, 1.04] [0.0, 0.33] [0.0, 1.87]
4 [0.0, 1.09] [0.0, 0.16] [0.0, 2.18]
5 [0.0, 1.16] [0.0, -0.0] [0.0, 2.5]
6 [0.0, 1.24] [0.0, -0.0] [0.0, 2.84]
7 [0.0, 1.28] [0.0, -0.0] [0.0, 3.2]
8 [0.0, 1.32] [0.0, -0.0] [0.0, 3.58]
9 [0.0, 1.37] [0.0, -0.0] [0.0, 3.96]
10 [0.0, 1.44] [0.0, -0.0] [0.0, 4.33]
11 [0.0, 1.53] [0.0, -0.0] [0.0, 4.69]
12 [0.0, 1.63] [0.0, -0.0] [0.0, 5.03]
13 [0.0, 1.74] [0.0, -0.0] [0.0, 5.35]
14 [0.0, 1.86] [0.0, -0.0] [0.0, 5.65]
15 [0.0, 1.98] [0.0, -0.0] [0.0, 5.94]
16 [0.0, 2.11] [0.0, -0.0] [0.0, 6.21]
17 [0.0, 2.23] [0.0, -0.0] [0.0, 6.47]
18 [0.0, 2.35] [0.0, -0.0] [0.0, 6.72]
19 [0.0, 2.47] [0.0, -0.0] [0.0, 6.96]
20 [0.0, 2.59] [0.0, -0.0] [0.0, 7.18]
21 [0.0, 2.71] [0.0, -0.0] [0.0, 7.39]
22 [0.0, 2.82] [0.0, -0.0] [0.0, 7.59]
23 [0.0, 2.93] [0.0, -0.0] [0.0, 7.78]
24 [0.0, 3.04] [0.0, -0.0] [0.0, 7.96]
25 [0.0, 3.15] [0.0, -0.0] [0.0, 8.13]
26 [0.0, 3.27] [0.0, -0.0] [0.0, 8.29]
27 [0.0, 3.39] [0.0, -0.0] [0.0, 8.43]
28 [0.0, 3.51] [0.0, -0.0] [0.0, 8.56]
29 [0.0, 3.64] [0.0, -0.0] [0.0, 8.68]
30 [0.0, 3.78] [0.0, -0.0] [0.0, 8.78]
31 [0.0, 3.92] [0.0, -0.0] [0.0, 8.87]
32 [0.0, 4.07] [0.0, -0.0] [0.0, 8.94]
33 [0.0, 4.23] [0.0, -0.0] [0.0, 8.99]
34 [0.0, 4.4] [0.0, -0.0] [0.0, 9.03]
35 [0.0, 4.57] [0.0, -0.0] [0.0, 9.06]
36 [0.0, 4.75] [0.0, -0.0] [0.0, 9.07]
37 [0.0, 4.93] [0.0, -0.0] [0.0, 9.07]
