0 [0.92, 0.0] [-0.0, 0.0] [0.11, 0.0]
1 [1.81, 0.0] [-0.0, 0.0] [0.11, 0.39]
2 [2.69, 0.0] [-0.0, 0.14] [-0.0, 1.17]
3 [3.16, 0.0] [0.27, 0.98] [0.43, 1.75]
4 [3.13, 0.99] [0.17, 1.06] [0.34, 1.69]
5 [3.09, 1.2] [0.77, 1.23] [0.86, 2.53]
6 [3.05, 1.46] [1.59, 1.45] [1.48, 3.29]
7 [3.63, 2.1] [2.27, 1.76] [1.87, 4.16]
8 [4.25, 2.6] [2.95, 2.17] [2.36, 4.98]
9 [4.86, 3.13] [3.55, 2.7] [2.93, 5.73]
10 [5.49, 3.69] [3.91, 3.3] [3.63, 6.3]
11 [6.12, 4.29] [4.11, 3.75] [4.33, 6.7]
12 [6.82, 4.77] [4.29, 4.09] [4.96, 6.95]
13 [7.55, 5.16] [4.47, 4.4] [5.57, 7.17]
14 [8.24, 5.48] [4.67, 4.62] [6.21, 7.45]
15 [8.66, 5.77] [4.82, 4.76] [6.67, 7.78]
16 [8.84, 5.88] [4.92, 4.88] [6.87, 7.9]
17 [9.01, 6.0] [5.0, 4.99] [7.01, 8.0]
