0 [0.97, 0.22] [0.99, 0.12] [0.5, 0.87]
1 [1.91, 0.55] [1.95, 0.23] [1.1, 1.67]
2 [2.52, 1.07] [2.22, 0.37] [1.54, 2.57]
3 [2.51, 1.71] [2.31, 0.47] [1.75, 3.54]
4 [1.66, 1.63] [2.63, 0.72] [1.99, 4.51]
5 [1.95, 0.68] [3.46, 1.07] [2.77, 5.12]
6 [1.38, 0.68] [4.36, 1.31] [3.54, 5.75]
7 [2.23, 0.16] [5.18, 1.64] [4.41, 6.22]
8 [3.1, 0.16] [5.88, 2.0] [5.28, 6.66]
9 [3.95, 0.16] [6.15, 2.36] [6.07, 6.98]
10 [3.86, 0.16] [6.69, 2.66] [6.03, 7.17]
11 [4.06, 0.19] [7.69, 2.68] [5.05, 7.22]
12 [4.21, 0.2] [8.69, 2.69] [4.08, 7.42]
13 [4.23, 0.2] [9.69, 2.7] [3.44, 8.19]
