0 [0.99, 1.04] [0.0, 1.0] [0.01, 1.0]
1 [1.96, 1.16] [0.01, 1.0] [0.02, 1.0]
2 [2.94, 1.23] [0.02, 1.0] [0.02, 1.0]
3 [2.58, 1.61] [0.02, 0.88] [0.02, 0.74]
4 [2.59, 1.61] [0.84, 1.42] [0.98, 0.91]
5 [2.6, 1.61] [1.62, 0.8] [1.97, 0.97]
6 [2.62, 1.61] [2.59, 0.79] [2.92, 1.16]
7 [2.65, 1.6] [3.56, 0.79] [3.83, 1.46]
8 [2.68, 1.59] [4.53, 0.79] [4.75, 1.72]
9 [2.73, 1.56] [5.44, 0.79] [5.52, 2.21]
10 [2.81, 1.46] [6.24, 0.79] [5.88, 2.96]
11 [2.89, 1.33] [7.0, 0.79] [6.14, 3.74]
12 [2.97, 1.23] [7.77, 0.79] [6.5, 4.5]
13 [3.05, 1.15] [8.57, 0.79] [6.93, 5.24]
14 [3.13, 1.06] [9.37, 0.79] [7.33, 5.99]
