0 [0.94, 1.0] [0.99, 1.0] [0.63, 1.0]
1 [1.79, 1.02] [1.98, 1.0] [1.46, 1.01]
2 [2.75, 1.13] [2.97, 1.01] [2.38, 1.03]
3 [3.64, 1.43] [3.96, 1.02] [3.28, 1.08]
4 [4.1, 2.16] [4.95, 1.04] [4.17, 1.23]
5 [4.47, 2.88] [5.94, 1.07] [5.05, 1.44]
6 [4.68, 3.38] [6.81, 1.19] [5.45, 2.09]
7 [4.75, 3.65] [6.97, 1.81] [5.61, 2.67]
8 [5.09, 4.33] [6.86, 2.51] [5.99, 3.24]
9 [5.6, 5.16] [6.91, 3.3] [6.39, 4.0]
10 [5.85, 6.12] [6.91, 4.29] [6.49, 4.99]
11 [6.25, 7.02] [6.81, 5.28] [6.57, 5.97]
12 [6.61, 7.92] [6.71, 6.27] [6.65, 6.95]
13 [6.88, 8.6] [6.75, 7.27] [6.8, 7.89]
14 [6.94, 8.89] [6.91, 8.25] [6.93, 8.71]
15 [6.98, 9.02] [7.0, 9.07] [6.99, 9.02]
