0 [1.0, 0.99] [0.0, 1.0] [0.0, 1.0]
1 [1.04, 1.17] [0.5, 0.79] [0.75, 0.89]
2 [1.06, 1.18] [0.43, 0.79] [1.73, 0.85]
3 [1.08, 1.26] [0.36, 1.66] [2.57, 0.79]
4 [1.09, 1.26] [1.35, 1.73] [3.56, 0.75]
5 [1.12, 1.27] [2.33, 1.8] [4.53, 0.72]
6 [1.18, 1.3] [3.28, 1.91] [5.47, 0.59]
7 [1.25, 1.33] [4.14, 2.3] [6.09, 0.59]
8 [1.34, 1.4] [4.61, 3.09] [6.13, 0.59]
9 [1.44, 1.49] [5.09, 3.85] [6.28, 0.59]
10 [1.51, 1.77] [5.27, 4.64] [6.29, 0.59]
11 [1.35, 2.2] [5.29, 5.36] [6.11, 0.03]
12 [1.01, 2.59] [5.27, 6.05] [6.06, 0.03]
13 [0.89, 2.99] [5.71, 6.72] [5.82, 0.03]
14 [0.96, 3.31] [6.46, 7.19] [5.44, 0.03]
15 [1.07, 3.61] [7.25, 7.62] [5.25, 0.03]
