0 [0.97, 0.0] [0.0, 0.13] [0.96, 0.0]
1 [1.88, 0.0] [0.53, 0.77] [1.83, 0.0]
2 [2.71, 0.0] [1.19, 1.47] [2.23, 0.0]
3 [3.53, 0.0] [1.91, 2.11] [2.42, 0.0]
4 [4.37, 0.0] [2.59, 2.69] [2.73, 0.0]
5 [4.17, 0.0] [3.2, 3.39] [2.65, 0.0]
6 [4.58, 0.87] [3.21, 3.92] [2.84, 0.91]
7 [5.34, 1.45] [3.27, 4.5] [3.42, 1.69]
8 [6.11, 1.95] [3.37, 5.16] [4.04, 2.45]
9 [6.77, 2.59] [3.44, 5.71] [4.52, 3.3]
10 [7.45, 3.23] [3.38, 6.1] [5.05, 4.12]
11 [8.11, 3.92] [3.28, 6.28] [5.38, 5.04]
12 [8.68, 4.6] [3.1, 5.89] [5.45, 5.99]
13 [8.99, 5.16] [3.98, 5.77] [5.98, 6.75]
14 [9.11, 5.64] [4.68, 5.44] [6.58, 7.28]
15 [9.03, 5.92] [4.88, 5.07] [6.92, 7.83]
16 [9.0, 6.01] [4.99, 5.0] [6.99, 8.0]
