0 [1.0, 1.02] [1.0, 0.98] [0.0, 1.0]
1 [1.99, 1.06] [1.99, 0.95] [0.0, 1.0]
2 [2.98, 1.09] [2.98, 0.92] [0.01, 1.0]
3 [3.98, 1.12] [3.97, 0.89] [0.02, 1.0]
4 [4.96, 1.24] [4.93, 0.76] [0.04, 1.0]
5 [5.85, 1.57] [5.77, 0.39] [0.08, 0.97]
6 [6.14, 2.36] [5.92, 0.39] [0.07, 0.81]
7 [5.51, 2.45] [5.45, 0.44] [0.07, 0.93]
8 [4.89, 2.73] [4.95, 0.4] [0.07, 0.94]
9 [4.51, 3.42] [4.49, 0.4] [0.07, 0.8]
10 [4.69, 4.29] [4.49, 0.4] [0.06, 0.67]
11 [5.43, 4.89] [5.11, 0.4] [0.1, 0.63]
12 [6.33, 5.25] [5.94, 0.4] [0.13, 0.61]
13 [7.29, 5.47] [6.86, 0.13] [0.15, 0.6]
14 [8.28, 5.53] [7.85, 0.05] [0.16, 0.6]
15 [9.28, 5.54] [8.85, 0.03] [0.16, 0.6]
