0 [0.2, 0.69] [0.14, 0.06] [0.2, 0.0]
1 [0.66, 1.22] [0.27, 0.08] [0.8, 0.0]
2 [0.91, 1.75] [0.52, 0.09] [1.06, 0.0]
3 [1.11, 2.25] [0.83, 0.1] [1.23, 0.0]
4 [1.33, 2.73] [1.14, 0.12] [1.42, 0.0]
5 [1.59, 3.19] [1.44, 0.14] [1.67, 0.0]
6 [1.9, 3.63] [1.72, 0.16] [2.0, 0.0]
7 [2.26, 4.06] [1.98, 0.19] [2.4, 0.0]
8 [2.66, 4.48] [2.22, 0.22] [2.86, 0.0]
9 [3.1, 4.89] [2.44, 0.25] [3.38, 0.0]
10 [3.58, 5.29] [2.64, 0.28] [3.94, 0.0]
11 [4.11, 5.67] [2.83, 0.31] [4.54, 0.0]
12 [4.67, 6.04] [3.02, 0.35] [5.16, 0.0]
13 [5.22, 6.41] [3.23, 0.4] [5.74, 0.0]
14 [5.7, 6.78] [3.49, 0.47] [6.19, 0.0]
15 [6.01, 7.17] [3.85, 0.62] [6.26, 0.0]
16 [5.88, 7.38] [4.47, 0.89] [5.97, 0.03]
17 [5.85, 7.32] [5.34, 1.13] [6.01, 0.12]
18 [5.87, 7.3] [6.29, 1.29] [6.05, 0.14]
19 [5.88, 7.29] [7.27, 1.39] [6.07, 0.15]
20 [5.89, 7.29] [8.26, 1.46] [6.08, 0.15]
