0 [0.0, 1.01] [0.0, 1.39] [0.0, 0.48]
1 [0.0, 1.13] [0.0, 1.51] [0.0, 0.01]
2 [0.0, 1.23] [0.0, 1.09] [0.0, 0.01]
3 [0.0, 1.53] [0.0, 0.81] [0.0, 0.01]
4 [0.0, 1.91] [0.0, 0.84] [0.0, 0.01]
5 [0.0, 2.18] [0.0, 0.97] [0.0, 0.06]
6 [0.0, 2.23] [0.0, 0.91] [0.0, 0.3]
7 [0.0, 2.05] [0.0, 0.75] [0.0, 0.59]
8 [0.0, 1.66] [0.0, 0.41] [0.0, 0.91]
9 [0.0, 1.39] [0.0, 0.0] [0.0, 0.81]
10 [0.0, 1.62] [0.0, 0.0] [0.0, 0.22]
11 [0.0, 1.93] [0.0, 0.46] [0.0, 0.22]
12 [0.0, 1.86] [0.0, 0.49] [0.0, 0.31]
13 [0.0, 1.81] [0.0, 0.51] [0.0, 0.32]
14 [0.0, 1.83] [0.0, 0.6] [0.0, 0.26]
15 [0.0, 1.87] [0.0, 0.68] [0.0, 0.24]
16 [0.0, 1.92] [0.0, 0.72] [0.0, 0.23]
17 [0.0, 1.98] [0.0, 0.75] [0.0, 0.2]
18 [0.0, 2.03] [0.0, 0.75] [0.0, 0.17]
19 [0.0, 2.08] [0.0, 0.73] [0.0, 0.11]
20 [0.0, 2.12] [0.0, 0.67] [0.0, 0.04]
21 [0.0, 2.15] [0.0, 0.57] [0.0, 0.04]
22 [0.0, 2.16] [0.0, 0.48] [0.0, 0.04]
23 [0.0, 2.16] [0.0, 0.39] [0.0, 0.04]
24 [0.0, 2.14] [0.0, 0.3] [0.0, 0.04]
25 [0.0, 2.09] [0.0, 0.2] [0.0, 0.04]
26 [0.0, 2.0] [0.0, 0.09] [0.0, 0.04]
27 [0.0, 1.86] [0.0, 0.09] [0.0, 0.04]
28 [0.0, 1.68] [0.0, 0.09] [0.0, 0.04]
29 [0.0, 1.46] [0.0, 0.09] [0.0, 0.04]
30 [0.0, 1.19] [0.0, 0.09] [0.0, 0.01]
31 [0.0, 0.86] [0.0, 0.09] [0.0, 0.07]
32 [0.0, 0.5] [0.0, 0.09] [0.0, 0.17]
33 [0.0, 0.13] [0.0, 0.09] [0.0, 0.31]
34 [0.0, 0.13] [0.0, 0.09] [0.0, 0.49]
35 [0.0, 0.13] [0.0, 0.09] [0.0, 0.64]
36 [0.0, 0.13] [0.0, 0.09] [0.0, 0.79]
37 [0.0, 0.13] [0.0, 0.09] [0.0, 0.96]
38 [0.0, 0.13] [0.0, 0.09] [0.0, 1.15]
39 [0.0, 0.13] [0.0, 0.09] [0.0, 1.38]
40 [0.0, 0.13] [0.0, 0.09] [0.0, 1.64]
41 [0.0, 0.13] [0.0, 0.09] [0.0, 1.92]
42 [0.0, 0.13] [0.0, 0.01] [0.0, 2.22]
43 [0.0, 0.13] [0.0, 0.01] [0.0, 2.54]
44 [0.0, 0.13] [0.0, 0.01] [0.0, 2.89]
45 [0.0, 0.13] [0.0, 0.01] [0.0, 3.26]
46 [0.0, 0.13] [0.0, 0.01] [0.0, 3.63]
47 [0.0, 0.13] [0.0, 0.01] [0.0, 3.96]
