0 [0.99, 1.0] [0.93, 1.01] [0.0, 0.97]
1 [1.99, 1.0] [1.89, 1.02] [0.95, 0.99]
2 [2.99, 1.01] [2.84, 1.17] [1.92, 1.01]
3 [3.98, 1.03] [3.68, 1.51] [2.88, 1.04]
4 [4.97, 1.06] [4.43, 2.08] [3.83, 1.1]
5 [5.95, 1.12] [4.97, 2.83] [4.77, 1.22]
6 [6.85, 1.31] [5.19, 3.66] [5.64, 1.58]
7 [7.07, 1.91] [5.23, 4.54] [5.96, 2.49]
8 [7.22, 2.68] [5.59, 5.39] [6.29, 3.41]
9 [7.27, 3.2] [6.07, 6.05] [6.68, 4.26]
10 [7.21, 3.97] [6.55, 6.6] [7.02, 5.1]
11 [7.07, 4.89] [6.85, 7.17] [7.15, 6.02]
12 [6.91, 5.86] [6.87, 7.73] [7.08, 6.96]
13 [6.8, 6.85] [6.84, 8.26] [7.09, 7.86]
14 [6.79, 7.84] [6.9, 8.68] [7.05, 8.55]
15 [6.93, 8.71] [6.95, 8.83] [7.02, 8.76]
16 [6.97, 8.87] [6.98, 8.93] [7.01, 8.89]
17 [7.0, 9.0] [7.01, 9.0] [7.0, 9.0]
