0 [0.74, 0.0] [0.57, 0.0] [0.0, 0.0]
1 [1.55, 0.0] [0.9, 0.0] [0.14, 0.45]
2 [2.41, 0.0] [1.07, 0.0] [0.44, 0.66]
3 [3.29, 0.0] [1.19, 0.0] [0.68, 1.0]
4 [4.16, 0.0] [1.19, 0.0] [0.82, 1.4]
5 [4.97, 0.0] [1.06, 0.0] [0.93, 1.78]
6 [5.62, 0.0] [0.83, 0.0] [1.04, 2.11]
7 [6.04, 0.0] [0.5, 0.0] [1.15, 2.38]
8 [6.24, 0.0] [0.08, 0.0] [1.23, 2.6]
9 [6.15, 0.0] [0.08, 0.0] [1.27, 2.76]
10 [5.54, 0.0] [0.08, 0.0] [1.27, 2.95]
11 [4.57, 0.2] [0.08, 0.0] [1.18, 3.1]
12 [4.64, 1.19] [0.08, 0.0] [1.03, 3.14]
13 [5.18, 2.0] [0.08, 0.0] [0.8, 3.19]
14 [5.6, 2.81] [0.08, 0.0] [0.51, 3.35]
15 [5.98, 3.46] [0.08, 0.0] [0.22, 3.58]
16 [6.28, 3.88] [0.08, 0.0] [0.22, 3.85]
17 [6.53, 4.17] [0.08, 0.0] [0.01, 4.13]
18 [6.72, 4.35] [0.08, 0.4] [0.01, 4.44]
19 [6.87, 4.48] [0.08, 1.31] [0.01, 4.74]
20 [6.97, 4.57] [0.8, 1.95] [0.09, 5.0]
21 [7.09, 4.64] [1.56, 2.48] [0.27, 5.36]
22 [7.26, 4.7] [2.17, 3.0] [0.62, 5.78]
23 [7.53, 4.77] [2.56, 3.39] [1.12, 6.12]
24 [7.93, 4.9] [2.83, 3.69] [1.62, 6.42]
25 [8.38, 5.13] [3.12, 3.97] [2.06, 6.7]
26 [8.66, 5.43] [3.45, 4.23] [2.51, 6.94]
27 [8.7, 5.59] [3.78, 4.43] [3.08, 7.11]
28 [8.72, 5.69] [4.02, 4.6] [3.77, 7.3]
29 [8.74, 5.77] [4.24, 4.75] [4.51, 7.52]
30 [8.77, 5.86] [4.47, 4.87] [5.29, 7.73]
31 [8.83, 5.94] [4.68, 4.93] [6.15, 7.87]
32 [8.92, 6.03] [4.88, 4.95] [7.07, 7.97]
