mode,final rewards,var_reward,min_reward,final steps,var_steps,max_steps,model_dir,adv_dir,perturb
vanilla_no_noise,-15.2,0.0,-15.2,16.02,0.0,16.02,cache/results/config_5/seed_10/Aug18-21_02-ppo_stationary_vanilla/model/,,0.03
vanilla_adv_noise,-18.6,0.0,-18.6,17.281,0.0,17.281,cache/results/config_5/seed_10/Aug18-21_02-ppo_stationary_vanilla/model/,cache/results/config_5/seed_10/Aug23-04_49-ppo_stationary_robust_KL/model/,0.03
vanilla_random_noise,-16.6475,0.9165,-17.8974,16.5474,0.3079,17.2397,cache/results/config_5/seed_10/Aug18-21_02-ppo_stationary_vanilla/model/,,0.03
robust_no_noise,-16.1662,0.0,-16.1662,16.0999,0.0,16.0999,cache/results/config_5/seed_10/Aug23-04_49-ppo_stationary_robust_KL/model/,,0.03
robust_adv_noise,-16.2806,0.0,-16.2806,16.094,0.0,16.094,cache/results/config_5/seed_10/Aug23-04_49-ppo_stationary_robust_KL/model/,cache/results/config_5/seed_10/Aug23-04_49-ppo_stationary_robust_KL/model/,0.03
robust_random_noise,-16.117,0.0484,-16.4142,16.1122,0.0012,16.1602,cache/results/config_5/seed_10/Aug23-04_49-ppo_stationary_robust_KL/model/,,0.03
