0 [1.0, 0.0] [0.89, 0.12] [0.82, 0.57]
1 [2.0, 0.0] [1.01, 0.21] [1.6, 1.19]
2 [3.0, 0.0] [0.95, 0.38] [2.32, 1.87]
3 [3.33, 0.0] [0.97, 0.02] [3.09, 2.42]
4 [3.51, 0.98] [0.94, 0.02] [3.79, 2.98]
5 [3.34, 1.92] [1.88, 0.27] [4.14, 3.76]
6 [3.97, 2.6] [2.81, 0.56] [4.23, 4.59]
7 [4.41, 3.24] [3.46, 1.23] [4.36, 5.33]
8 [4.88, 3.61] [3.96, 1.84] [4.86, 5.87]
9 [5.41, 3.83] [4.15, 2.43] [5.18, 6.31]
10 [5.97, 4.0] [4.15, 2.89] [5.35, 6.53]
11 [6.64, 4.24] [4.17, 3.32] [5.55, 6.69]
12 [7.37, 4.65] [4.25, 3.8] [5.87, 6.84]
13 [8.13, 5.16] [4.58, 4.31] [6.44, 7.04]
14 [8.67, 5.57] [4.74, 4.61] [6.83, 7.52]
15 [8.82, 5.77] [4.85, 4.79] [6.87, 7.74]
16 [8.91, 5.9] [4.93, 4.9] [6.93, 7.88]
17 [9.0, 6.0] [5.0, 5.0] [7.0, 8.0]
