0 [0.01, 0.0] [0.98, 0.0] [0.98, 0.0]
1 [0.01, 0.0] [0.61, 0.05] [0.49, 0.0]
2 [0.01, 0.0] [0.15, 0.05] [0.04, 0.0]
3 [0.01, 0.13] [0.01, 0.05] [0.04, 0.0]
4 [0.24, 0.13] [0.01, 0.34] [0.04, 0.25]
5 [0.67, 0.13] [0.05, 0.57] [0.06, 0.46]
6 [0.93, 0.13] [0.05, 0.86] [0.05, 0.71]
7 [1.12, 0.13] [0.02, 1.18] [0.02, 0.99]
8 [1.28, 0.13] [0.02, 1.51] [0.02, 1.29]
9 [1.44, 0.13] [0.02, 1.84] [0.02, 1.59]
10 [1.61, 0.13] [0.02, 2.17] [0.02, 1.9]
11 [1.8, 0.13] [0.02, 2.5] [0.0, 2.2]
12 [2.02, 0.13] [0.02, 2.83] [0.0, 2.5]
13 [2.27, 0.13] [0.02, 3.16] [0.02, 2.79]
14 [2.54, 0.13] [0.02, 3.49] [0.05, 3.07]
15 [2.82, 0.13] [0.02, 3.82] [0.08, 3.35]
16 [3.11, 0.13] [0.02, 4.15] [0.12, 3.63]
17 [3.45, 0.13] [0.0, 4.47] [0.17, 3.9]
18 [3.82, 0.13] [-0.0, 4.79] [0.22, 4.16]
19 [4.22, 0.13] [0.01, 5.1] [0.28, 4.41]
20 [4.62, 0.13] [0.02, 5.42] [0.33, 4.66]
21 [5.01, 0.13] [0.02, 5.75] [0.37, 4.92]
22 [5.34, 0.13] [0.02, 6.1] [0.38, 5.19]
23 [5.58, 0.13] [0.02, 6.48] [0.34, 5.49]
24 [5.69, 0.13] [0.02, 6.85] [0.22, 5.81]
25 [5.67, 0.13] [0.02, 7.18] [-0.0, 6.12]
26 [5.55, 0.13] [0.02, 7.42] [-0.0, 6.4]
27 [5.45, 0.13] [0.02, 7.68] [-0.0, 6.69]
28 [5.38, 0.13] [0.02, 7.96] [-0.0, 7.0]
29 [5.34, 0.13] [0.02, 8.27] [-0.0, 7.32]
30 [5.32, 0.13] [0.02, 8.59] [-0.0, 7.64]
31 [5.32, 0.13] [0.02, 8.93] [-0.0, 7.96]
32 [5.34, 0.13] [0.02, 9.27] [-0.0, 8.28]
33 [5.39, 0.13] [0.02, 9.62] [-0.0, 8.6]
34 [5.46, 0.13] [0.02, 9.98] [-0.0, 8.91]
35 [5.56, 0.13] [0.02, 9.98] [-0.0, 9.22]
36 [5.85, 0.13] [0.02, 9.98] [0.03, 9.48]
37 [6.29, 0.13] [0.06, 9.98] [0.1, 9.68]
38 [6.86, 0.13] [0.15, 9.98] [0.19, 9.83]
39 [7.54, 0.13] [0.27, 9.98] [0.29, 9.93]
40 [8.32, 0.13] [0.4, 9.98] [0.38, 9.93]
41 [9.16, 0.13] [0.52, 9.98] [0.46, 9.97]
